2026-02-15 00:00:21,876 - INFO - Using device: cuda
2026-02-15 00:00:22,095 - INFO - Using FP16 precision for training
2026-02-15 00:00:24,281 - INFO - Training for 100 epochs...
Epochs:   0%|          | 0/100 [00:00<?, ?it/s]2026-02-15 00:00:27,048 - DEBUG - Step 1, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-15 00:04:33,524 - DEBUG - Step 44, Step loss = nan, Image loss = 0.0192, Grad loss = nan
2026-02-15 00:04:35,233 - DEBUG - Step 45, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:04:36,943 - DEBUG - Step 46, Step loss = nan, Image loss = 0.0195, Grad loss = nan
2026-02-15 00:04:38,644 - DEBUG - Step 47, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:04:40,355 - DEBUG - Step 48, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:04:42,071 - DEBUG - Step 49, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:04:43,752 - DEBUG - Step 50, Step loss = nan, Image loss = 0.0194, Grad loss = nan
2026-02-15 00:04:45,474 - DEBUG - Step 51, Step loss = nan, Image loss = 0.0192, Grad loss = nan
2026-02-15 00:04:47,181 - DEBUG - Step 52, Step loss = nan, Image loss = 0.0184, Grad loss = nan
2026-02-15 00:04:48,973 - DEBUG - Step 53, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:04:50,678 - DEBUG - Step 54, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:04:52,383 - DEBUG - Step 55, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:04:54,084 - DEBUG - Step 56, Step loss = nan, Image loss = 0.0194, Grad loss = nan
2026-02-15 00:04:55,779 - DEBUG - Step 57, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:04:57,558 - DEBUG - Step 58, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:04:59,286 - DEBUG - Step 59, Step loss = nan, Image loss = 0.0192, Grad loss = nan
2026-02-15 00:05:00,997 - DEBUG - Step 60, Step loss = nan, Image loss = 0.0212, Grad loss = nan
2026-02-15 00:05:02,698 - DEBUG - Step 61, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:05:04,408 - DEBUG - Step 62, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:05:06,104 - DEBUG - Step 63, Step loss = nan, Image loss = 0.0213, Grad loss = nan
2026-02-15 00:05:07,816 - DEBUG - Step 64, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:05:09,526 - DEBUG - Step 65, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:05:11,269 - DEBUG - Step 66, Step loss = nan, Image loss = 0.0194, Grad loss = nan
2026-02-15 00:05:12,972 - DEBUG - Step 67, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:05:14,715 - DEBUG - Step 68, Step loss = nan, Image loss = 0.0216, Grad loss = nan
2026-02-15 00:05:16,434 - DEBUG - Step 69, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:05:18,141 - DEBUG - Step 70, Step loss = nan, Image loss = 0.0208, Grad loss = nan
